Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,85.650002,85.750000,84.610001,84.980003,84.980003,841900
2023-07-05,85.160004,85.279999,83.860001,84.040001,84.040001,1659100
2023-07-06,82.830002,82.989998,81.160004,81.760002,81.760002,4313000
2023-07-07,81.739998,82.769997,81.660004,81.940002,81.940002,4130000
2023-07-10,81.940002,84.230003,81.830002,84.230003,84.230003,2519900
2023-07-11,84.489998,85.050003,84.339996,84.900002,84.900002,2160300
2023-07-12,86.110001,87.330002,85.510002,87.150002,87.150002,2788100
2023-07-13,87.639999,87.989998,87.059998,87.849998,87.849998,2418700
2023-07-14,88.410004,88.970001,87.730003,88.919998,88.919998,1509000
2023-07-17,88.599998,88.870003,87.959999,88.620003,88.620003,1560500
2023-07-18,88.620003,89.489998,88.510002,88.879997,88.879997,1280100
2023-07-19,88.739998,88.970001,88.110001,88.849998,88.849998,1581500
2023-07-20,89.440002,89.650002,85.769997,86.500000,86.500000,4710800
2023-07-21,86.860001,87.419998,86.480003,86.809998,86.809998,1837100
